交易日期,股票代码,置信度
2021/3/5,sh600000,0.10680071450769901
2021/3/5,,
2021/3/5,,
2021/3/5,sh600004,0.27147340029478073
2021/3/5,,
2021/3/5,sh600006,-0.10744744166731834
2021/3/5,sh600007,0.06879591196775436
2021/3/5,sh600008,0.11997995898127556
2021/3/5,sh600009,0.15928663313388824
2021/3/5,sh600010,-0.14122532680630684
2021/3/5,sh600011,0.15293614193797112
2021/3/5,sh600012,0.20716167241334915
2021/3/5,sh600015,0.1938212588429451
2021/3/5,sh600016,0.10342139005661011
2021/3/5,sh600017,0.11606520414352417
2021/3/5,sh600018,0.0791091751307249
2021/3/5,sh600019,0.42668604850769043
2021/3/5,sh600020,0.14646723866462708
2021/3/5,sh600021,0.2837246432900429
2021/3/5,sh600022,0.26049792021512985
2021/3/5,sh600023,0.13712409883737564
2021/3/5,sh600025,0.31606029719114304
2021/3/5,sh600026,0.03313679248094559
2021/3/5,sh600027,0.10041598975658417
2021/3/5,sh600028,0.2038809061050415
2021/3/5,sh600029,0.25783003121614456
2021/3/5,sh600030,-0.06962523609399796
2021/3/5,sh600031,-0.8323436975479126
2021/3/5,sh600033,0.133800957351923
2021/3/5,sh600035,0.1460571363568306
2021/3/5,sh600036,0.03771263360977173
2021/3/5,sh600037,0.13040032982826233
2021/3/5,sh600038,-0.045549921691417694
2021/3/5,sh600039,-0.032723914831876755
2021/3/5,sh600048,-0.22120101749897003
2021/3/5,sh600050,0.1329420544207096
2021/3/5,sh600051,0.0479071494191885
2021/3/5,sh600052,-0.3000752329826355
2021/3/5,sh600053,-0.025613829493522644
2021/3/5,sh600054,0.09220325201749802
2021/3/5,sh600055,
2021/3/5,sh600056,0.06087184511125088
2021/3/5,sh600057,0.08226132206618786
2021/3/5,sh600058,0.033156875520944595
2021/3/5,sh600059,0.08384165167808533
2021/3/5,sh600060,0.12089615315198898
2021/3/5,sh600061,0.052768878638744354
2021/3/5,sh600062,0.0413697175681591
2021/3/5,sh600063,0.11627793312072754
2021/3/5,sh600064,0.04636070877313614
2021/3/5,sh600066,-0.32115231454372406
2021/3/5,sh600067,0.07038746401667595
2021/3/5,sh600068,0.12126247584819794
2021/3/5,,
2021/3/5,sh600070,0.018401652574539185
2021/3/5,sh600071,0.359580397605896
2021/3/5,sh600072,0.1851058229804039
2021/3/5,sh600073,-0.006311655044555664
2021/3/5,,
2021/3/5,sh600075,0.11242124065756798
2021/3/5,sh600076,0.01313558965921402
2021/3/5,sh600077,0.3221975490450859
2021/3/5,sh600078,0.16680556535720825
2021/3/5,sh600079,-0.3013797104358673
2021/3/5,sh600080,0.15888530015945435
2021/3/5,sh600081,0.06984800472855568
2021/3/5,sh600082,0.08020713552832603
2021/3/5,sh600083,0.07665223628282547
2021/3/5,sh600084,0.15234585851430893
2021/3/5,sh600085,-0.12095744162797928
2021/3/5,sh600086,0.37239666283130646
2021/3/5,,
2021/3/5,sh600088,-0.03834666311740875
2021/3/5,sh600089,0.05640024691820145
2021/3/5,sh600090,0.6717410981655121
2021/3/5,sh600091,0.04473365843296051
2021/3/5,sh600093,-0.08793671056628227
2021/3/5,sh600094,0.5148894786834717
2021/3/5,sh600095,0.08856536075472832
2021/3/5,sh600096,0.2836146280169487
2021/3/5,sh600097,-0.18943561241030693
2021/3/5,sh600098,0.12261740118265152
2021/3/5,sh600099,0.10885149240493774
2021/3/5,sh600100,-0.11233237385749817
2021/3/5,sh600101,0.09984538704156876
2021/3/5,,
2021/3/5,sh600103,0.1610066220164299
2021/3/5,sh600104,0.06388526037335396
2021/3/5,sh600105,0.1025625430047512
2021/3/5,sh600106,0.1221480742096901
2021/3/5,sh600107,0.49522504210472107
2021/3/5,sh600108,-0.8072338700294495
2021/3/5,sh600109,-0.1326805092394352
2021/3/5,sh600110,0.5144248306751251
2021/3/5,sh600111,-0.18402348831295967
2021/3/5,sh600112,0.19819801300764084
2021/3/5,sh600113,0.004421696066856384
2021/3/5,sh600114,0.0038773082196712494
2021/3/5,sh600115,0.32146359235048294
2021/3/5,sh600116,0.18433716148138046
2021/3/5,sh600117,0.2437252774834633
2021/3/5,sh600118,-0.17725449427962303
2021/3/5,sh600119,0.2882111296057701
2021/3/5,sh600120,0.07965818420052528
2021/3/5,sh600121,0.7201113402843475
2021/3/5,sh600122,-0.1603572480380535
2021/3/5,sh600123,-0.012911804020404816
2021/3/5,sh600125,0.03026469051837921
2021/3/5,sh600126,0.34005284309387207
2021/3/5,sh600127,0.20101767033338547
2021/3/5,sh600128,0.058440690860152245
2021/3/5,sh600129,-0.19640758261084557
2021/3/5,sh600130,0.08554449677467346
2021/3/5,sh600131,0.09826737269759178
2021/3/5,sh600132,0.3309691622853279
2021/3/5,sh600133,0.10833541303873062
2021/3/5,sh600135,0.012974414974451065
2021/3/5,sh600136,0.06223267875611782
2021/3/5,sh600137,0.09687301516532898
2021/3/5,sh600138,0.053274206817150116
2021/3/5,sh600139,0.08220570534467697
2021/3/5,sh600141,0.17798850685358047
2021/3/5,sh600143,0.31246256083250046
2021/3/5,sh600145,0.05813593044877052
2021/3/5,sh600146,-0.03290441632270813
2021/3/5,sh600148,-0.03376155346632004
2021/3/5,sh600149,0.09010880067944527
2021/3/5,sh600150,0.047264182940125465
2021/3/5,sh600151,0.21410276740789413
2021/3/5,sh600152,0.06641426496207714
2021/3/5,sh600153,0.08153394423425198
2021/3/5,sh600155,0.22513141483068466
2021/3/5,sh600156,0.2711595967411995
2021/3/5,sh600157,0.0077750422060489655
2021/3/5,sh600158,-0.008080437779426575
