交易日期,股票代码,置信度,五天后的涨跌幅
2020-12-31,,-1.5825732350349426,0.015495867768595016
2020-12-31,,,
2020-12-31,,,
2020-12-31,,-1.6158109903335571,-0.06723283793347479
2020-12-31,,,
2020-12-31,,-1.442839741706848,-0.1313559322033898
2020-12-31,,-1.8420347571372984,-0.0040160642570282725
2020-12-31,,-1.8222979307174685,0.02120141342756177
2020-12-31,,-1.5166015028953552,0.004229447528416808
2020-12-31,,-1.7959469556808472,0.0
2020-12-31,,-1.794984221458435,-0.0022321428571431268
2020-12-31,,-1.7600922584533691,-0.014563106796116497
2020-12-31,,-1.6908329129219055,0.0
2020-12-31,,-1.712372660636902,0.0019230769230771387
2020-12-31,,-1.640528440475464,-0.0069444444444444215
2020-12-31,,-1.6984163522720337,0.04814004376367609
2020-12-31,,-1.6709138751029968,0.10252100840336142
2020-12-31,,-1.8755728602409365,-0.02654867256637184
2020-12-31,,-1.7718951106071472,0.00842696629213524
2020-12-31,,-1.8334498405456543,-0.0279720279720278
2020-12-31,,-1.8087288737297056,-0.01377410468319562
2020-12-31,,-1.857341885566712,-0.020179372197309583
2020-12-31,,-1.6950634121894836,0.046407185628742915
2020-12-31,,-1.7689284086227417,-0.02058823529411757
2020-12-31,,-1.7784574627876282,0.0397022332506205
2020-12-31,,-1.7782872319221497,-0.04194630872483207
2020-12-31,,-1.4299037456512451,0.022448979591836785
2020-12-31,,-0.16935516893863678,0.1540880503144657
2020-12-31,,-1.746764838695526,0.007604562737642429
2020-12-31,,-1.7561877965927124,-0.013745704467354236
2020-12-31,,-1.4889057874679563,0.06029579067121715
2020-12-31,,-1.6784399747848509,-0.0130434782608696
2020-12-31,,-1.4671948552131653,0.07606442353691634
2020-12-31,,-1.751259982585907,0.026607538802660983
2020-12-31,,-0.5935945808887482,-0.03982300884955736
2020-12-31,,-1.8734816908836365,-0.0358744394618834
2020-12-31,,-1.7920506596565249,-0.07519640852974196
2020-12-31,,-1.8747259974479675,-0.04391891891891875
2020-12-31,,-1.4951590299606323,-0.05217391304347807
2020-12-31,,-1.6740477085113523,-0.03674832962138097
2020-12-31,,-1.6702712178230286,0.003952569169960452
2020-12-31,,-1.6080670952796936,0.00976971388695036
2020-12-31,,-1.8064262866973884,-0.02823920265780722
2020-12-31,,-1.5700488090515137,-0.07230559345156906
2020-12-31,,-1.4570117592811584,0.05878894767783671
2020-12-31,,-1.575571835041046,-0.0566202090592336
2020-12-31,,-1.6492237448692322,0.002169197396963085
2020-12-31,,-1.6765719652175903,-0.0033361134278566684
2020-12-31,,-1.7068864107131958,0.016393442622950838
2020-12-31,,-1.6076055765151978,-0.020447906523855863
2020-12-31,,-1.4732713103294373,-0.11465721040189135
2020-12-31,,-1.7418567538261414,-0.016438356164383383
2020-12-31,,-1.7637786269187927,0.010638297872340273
2020-12-31,,,
2020-12-31,,-1.7120813727378843,-0.05294117647058827
2020-12-31,,-1.860604107379913,0.1779141104294477
2020-12-31,,-1.7283576130867004,0.01831501831501825
2020-12-31,,-1.6372761726379397,0.044703595724004286
2020-12-31,,,
2020-12-31,,-1.952976405620575,0.0
2020-12-31,,-2.1978200674057007,-0.05509641873278215
2020-12-31,,-2.01345443725586,-0.016233766233766378
2020-12-31,,-1.822228491306305,-0.09367088607594942
2020-12-31,,-1.4749462604522705,-0.08057851239669445
2020-12-31,,-1.875608503818512,-0.012522361359570744
2020-12-31,,-1.48261296749115,-0.13092550790067747
2020-12-31,,-1.8357583284378047,-0.0660066006600658
2020-12-31,,-1.9850320219993591,-0.054481546572934914
2020-12-31,,-1.7844048142433169,0.004405286343612369
2020-12-31,,-1.63520747423172,0.058995815899581576
2020-12-31,,,
2020-12-31,,,
2020-12-31,,-1.7196257710456848,-0.0756302521008404
2020-12-31,,-1.6143689155578609,0.00985221674876824
2020-12-31,,-1.736000657081604,-0.07299270072992714
2020-12-31,,-1.799141526222229,-0.1611111111111111
2020-12-31,,-1.7738912105560305,0.01248439450686667
2020-12-31,,-1.8270097970962524,-0.059701492537313376
2020-12-31,,-1.6918945908546448,-0.045205479452055004
2020-12-31,,-1.7192952036857605,-0.028006589785831704
2020-12-31,,-1.7424656748771667,0.1320939334637965
2020-12-31,,-1.7737670540809631,-0.02300613496932491
2020-12-31,,-1.8366180062294009,-0.0650406504065042
2020-12-31,,-1.7473729252815249,-0.014516129032258298
2020-12-31,,-1.6712685227394104,-0.05059021922428342
2020-12-31,,,
2020-12-31,,-2.112384796142578,0.10052910052910068
2020-12-31,,-1.5898807048797607,0.04541734860883784
2020-12-31,,-1.4744232892990112,-0.1417112299465243
2020-12-31,,-1.6216882467269895,-0.01492537313432829
